Accountability Record: Site Code,Grade Level: Program Name,Grade Level: Grade,Students,Desired Enrollment,Facility: Facility Name,Facility: Portfolio Region,Facility: Cost Tier,Facility Capacity,Accountability Record: Site Name,Facility: Zip/Postal Code
WBC001,Alice M. Harte Charter School,8,68,80,Alice M. Harte,"Planning Districts 12, 13",1,958,Alice M Harte Elementary Charter School,70131
WBC001,Alice M. Harte Charter School,6,79,92,Alice M. Harte,"Planning Districts 12, 13",1,958,Alice M Harte Elementary Charter School,70131
WBC001,Alice M. Harte Charter School,K,68,88,Alice M. Harte,"Planning Districts 12, 13",1,958,Alice M Harte Elementary Charter School,70131
WBC001,Alice M. Harte Charter School,4,68,72,Alice M. Harte,"Planning Districts 12, 13",1,958,Alice M Harte Elementary Charter School,70131
WBC001,Alice M. Harte Charter School,5,74,76,Alice M. Harte,"Planning Districts 12, 13",1,958,Alice M Harte Elementary Charter School,70131
WBC001,Alice M. Harte Charter School,3,62,79,Alice M. Harte,"Planning Districts 12, 13",1,958,Alice M Harte Elementary Charter School,70131
WBC001,Alice M. Harte Charter School,1,64,65,Alice M. Harte,"Planning Districts 12, 13",1,958,Alice M Harte Elementary Charter School,70131
WBC001,Alice M. Harte Charter School,2,69,76,Alice M. Harte,"Planning Districts 12, 13",1,958,Alice M Harte Elementary Charter School,70131
WBC001,Alice M. Harte Charter School,7,71,79,Alice M. Harte,"Planning Districts 12, 13",1,958,Alice M Harte Elementary Charter School,70131
WBL001,Andrew H. Wilson Charter School,K,43,56,Andrew H. Wilson,"Planning Districts 1a, 1b, 2, 3",1,655,Wilson Charter School,70125
WBL001,Andrew H. Wilson Charter School,4,64,71,Andrew H. Wilson,"Planning Districts 1a, 1b, 2, 3",1,655,Wilson Charter School,70125
WBL001,Andrew H. Wilson Charter School,7,54,63,Andrew H. Wilson,"Planning Districts 1a, 1b, 2, 3",1,655,Wilson Charter School,70125
WBL001,Andrew H. Wilson Charter School,8,54,64,Andrew H. Wilson,"Planning Districts 1a, 1b, 2, 3",1,655,Wilson Charter School,70125
WBL001,Andrew H. Wilson Charter School,6,63,78,Andrew H. Wilson,"Planning Districts 1a, 1b, 2, 3",1,655,Wilson Charter School,70125
WBL001,Andrew H. Wilson Charter School,1,54,66,Andrew H. Wilson,"Planning Districts 1a, 1b, 2, 3",1,655,Wilson Charter School,70125
WBL001,Andrew H. Wilson Charter School,5,64,75,Andrew H. Wilson,"Planning Districts 1a, 1b, 2, 3",1,655,Wilson Charter School,70125
WBL001,Andrew H. Wilson Charter School,3,55,73,Andrew H. Wilson,"Planning Districts 1a, 1b, 2, 3",1,655,Wilson Charter School,70125
WBL001,Andrew H. Wilson Charter School,2,49,66,Andrew H. Wilson,"Planning Districts 1a, 1b, 2, 3",1,655,Wilson Charter School,70125
WBT001,Audubon Gentilly,7,39,55,Gentilly Terrace,"Planning Districts 6, 7, 8",4,358,Audubon Charter Gentilly,70122
WBT001,Audubon Gentilly,1,42,59,Gentilly Terrace,"Planning Districts 6, 7, 8",4,358,Audubon Charter Gentilly,70122
WBT001,Audubon Gentilly,4,47,53,Gentilly Terrace,"Planning Districts 6, 7, 8",4,358,Audubon Charter Gentilly,70122
WBT001,Audubon Gentilly,K,47,62,Gentilly Terrace,"Planning Districts 6, 7, 8",4,358,Audubon Charter Gentilly,70122
WBT001,Audubon Gentilly,2,47,53,Gentilly Terrace,"Planning Districts 6, 7, 8",4,358,Audubon Charter Gentilly,70122
WBT001,Audubon Gentilly,6,35,50,Gentilly Terrace,"Planning Districts 6, 7, 8",4,358,Audubon Charter Gentilly,70122
WBT001,Audubon Gentilly,5,51,69,Gentilly Terrace,"Planning Districts 6, 7, 8",4,358,Audubon Charter Gentilly,70122
WBT001,Audubon Gentilly,3,42,52,Gentilly Terrace,"Planning Districts 6, 7, 8",4,358,Audubon Charter Gentilly,70122
WAZ001,Audubon Uptown French Program - Lower School,2,47,58,Dorothy Mae Taylor,"Planning Districts 1a, 1b, 2, 3",2,455,Audubon Charter School,70118
WAZ001,Audubon Uptown French Program - Lower School,1,45,58,Dorothy Mae Taylor,"Planning Districts 1a, 1b, 2, 3",2,455,Audubon Charter School,70118
WAZ001,Audubon Uptown French Program - Lower School,K,61,71,Dorothy Mae Taylor,"Planning Districts 1a, 1b, 2, 3",2,455,Audubon Charter School,70118
WAZ001,Audubon Uptown French Program - Lower School,3,36,45,Dorothy Mae Taylor,"Planning Districts 1a, 1b, 2, 3",2,455,Audubon Charter School,70118
WAZ001,Audubon Uptown French Program - Upper School,8,17,32,Live Oak,"Planning Districts 1a, 1b, 2, 3",4,782,Audubon Charter School,70115
WAZ001,Audubon Uptown French Program - Upper School,5,39,53,Live Oak,"Planning Districts 1a, 1b, 2, 3",4,782,Audubon Charter School,70115
WAZ001,Audubon Uptown French Program - Upper School,7,31,33,Live Oak,"Planning Districts 1a, 1b, 2, 3",4,782,Audubon Charter School,70115
WAZ001,Audubon Uptown French Program - Upper School,4,45,62,Live Oak,"Planning Districts 1a, 1b, 2, 3",4,782,Audubon Charter School,70115
WAZ001,Audubon Uptown French Program - Upper School,6,36,37,Live Oak,"Planning Districts 1a, 1b, 2, 3",4,782,Audubon Charter School,70115
WAZ001,Audubon Uptown Montessori Program - Lower School,2,42,46,Dorothy Mae Taylor,"Planning Districts 1a, 1b, 2, 3",2,455,Audubon Charter School,70118
WAZ001,Audubon Uptown Montessori Program - Lower School,3,48,62,Dorothy Mae Taylor,"Planning Districts 1a, 1b, 2, 3",2,455,Audubon Charter School,70118
WAZ001,Audubon Uptown Montessori Program - Lower School,1,52,68,Dorothy Mae Taylor,"Planning Districts 1a, 1b, 2, 3",2,455,Audubon Charter School,70118
WAZ001,Audubon Uptown Montessori Program - Lower School,K,60,72,Dorothy Mae Taylor,"Planning Districts 1a, 1b, 2, 3",2,455,Audubon Charter School,70118
WAZ001,Audubon Uptown Montessori Program - Upper School,4,49,58,Live Oak,"Planning Districts 1a, 1b, 2, 3",4,782,Audubon Charter School,70115
WAZ001,Audubon Uptown Montessori Program - Upper School,6,38,50,Live Oak,"Planning Districts 1a, 1b, 2, 3",4,782,Audubon Charter School,70115
